1.000000	2.000000	6.000000	1.000000	4.000000	7.000000	2.000000	7.000000	7.000000	7.000000	7.000000	4.000000	7.000000	6.000000	7.000000	1.000000	5.000000	7.000000	5.000000
1.000000	6.000000	7.000000	1.000000	4.000000	6.000000	2.000000	7.000000	7.000000	6.000000	7.000000	4.000000	6.000000	5.000000	7.000000	1.000000	4.000000	7.000000	3.000000
1.000000	5.000000	6.000000	1.000000	4.000000	6.000000	1.000000	1.000000	5.000000	4.000000	6.000000	4.000000	5.000000	7.000000	6.000000	1.000000	4.000000	6.000000	1.000000
1.000000	5.000000	6.000000	3.000000	6.000000	7.000000	5.000000	7.000000	7.000000	6.000000	7.000000	5.000000	7.000000	6.000000	7.000000	3.000000	7.000000	7.000000	3.000000
1.000000	5.000000	6.000000	4.000000	6.000000	7.000000	5.000000	7.000000	6.000000	6.000000	7.000000	6.000000	7.000000	5.000000	6.000000	4.000000	4.000000	7.000000	4.000000
1.000000	4.000000	6.000000	2.000000	6.000000	7.000000	4.000000	7.000000	4.000000	6.000000	7.000000	4.000000	6.000000	6.000000	4.000000	2.000000	1.000000	4.000000	2.000000
1.000000	4.000000	6.000000	2.000000	6.000000	7.000000	4.000000	7.000000	7.000000	6.000000	7.000000	5.000000	7.000000	7.000000	6.000000	4.000000	3.000000	7.000000	4.000000
1.000000	6.000000	4.000000	1.000000	2.000000	7.000000	3.000000	7.000000	6.000000	6.000000	6.000000	6.000000	7.000000	6.000000	7.000000	3.000000	6.000000	4.000000	2.000000
1.000000	1.000000	5.000000	1.000000	4.000000	7.000000	1.000000	7.000000	7.000000	6.000000	7.000000	4.000000	7.000000	7.000000	6.000000	1.000000	5.000000	7.000000	1.000000
1.000000	2.000000	6.000000	1.000000	1.000000	5.000000	2.000000	4.000000	4.000000	6.000000	7.000000	5.000000	5.000000	4.000000	6.000000	1.000000	4.000000	6.000000	1.000000
1.000000	4.000000	6.000000	1.000000	1.000000	6.000000	1.000000	4.000000	5.000000	5.000000	7.000000	4.000000	5.000000	4.000000	6.000000	2.000000	3.000000	6.000000	1.000000
1.000000	5.000000	6.000000	2.000000	1.000000	6.000000	2.000000	6.000000	7.000000	7.000000	4.000000	4.000000	6.000000	5.000000	7.000000	1.000000	4.000000	7.000000	1.000000
1.000000	1.000000	6.000000	1.000000	1.000000	7.000000	1.000000	4.000000	6.000000	6.000000	7.000000	3.000000	6.000000	6.000000	6.000000	1.000000	3.000000	7.000000	3.000000
1.000000	1.000000	5.000000	1.000000	1.000000	7.000000	1.000000	4.000000	6.000000	6.000000	7.000000	4.000000	7.000000	6.000000	6.000000	1.000000	3.000000	7.000000	3.000000
1.000000	3.000000	2.000000	4.000000	4.000000	5.000000	6.000000	7.000000	5.000000	4.000000	5.000000	2.000000	5.000000	6.000000	6.000000	4.000000	4.000000	5.000000	5.000000
1.000000	2.000000	6.000000	2.000000	7.000000	7.000000	4.000000	7.000000	7.000000	4.000000	5.000000	5.000000	6.000000	7.000000	7.000000	2.000000	3.000000	7.000000	5.000000
1.000000	2.000000	3.000000	2.000000	2.000000	6.000000	4.000000	7.000000	5.000000	4.000000	6.000000	3.000000	4.000000	4.000000	3.000000	3.000000	4.000000	1.000000	2.000000
1.000000	1.000000	5.000000	1.000000	7.000000	7.000000	3.000000	6.000000	6.000000	6.000000	7.000000	6.000000	6.000000	6.000000	5.000000	1.000000	4.000000	7.000000	1.000000
1.000000	2.000000	4.000000	1.000000	2.000000	6.000000	4.000000	6.000000	6.000000	4.000000	6.000000	4.000000	6.000000	5.000000	6.000000	2.000000	4.000000	6.000000	4.000000
1.000000	6.000000	6.000000	1.000000	5.000000	5.000000	5.000000	7.000000	5.000000	4.000000	7.000000	4.000000	6.000000	6.000000	6.000000	1.000000	5.000000	7.000000	5.000000
1.000000	3.000000	4.000000	3.000000	2.000000	6.000000	3.000000	6.000000	6.000000	6.000000	6.000000	4.000000	5.000000	5.000000	6.000000	2.000000	5.000000	6.000000	2.000000
1.000000	4.000000	4.000000	3.000000	3.000000	6.000000	4.000000	6.000000	5.000000	4.000000	4.000000	4.000000	7.000000	5.000000	4.000000	4.000000	4.000000	6.000000	4.000000
1.000000	4.000000	4.000000	3.000000	3.000000	5.000000	3.000000	7.000000	4.000000	5.000000	5.000000	4.000000	6.000000	7.000000	5.000000	4.000000	4.000000	7.000000	5.000000
1.000000	4.000000	4.000000	3.000000	3.000000	6.000000	4.000000	7.000000	5.000000	5.000000	6.000000	5.000000	7.000000	6.000000	5.000000	4.000000	3.000000	6.000000	6.000000
1.000000	3.000000	5.000000	1.000000	1.000000	6.000000	2.000000	6.000000	6.000000	6.000000	7.000000	5.000000	6.000000	6.000000	6.000000	2.000000	5.000000	4.000000	2.000000
1.000000	2.000000	4.000000	1.000000	4.000000	7.000000	3.000000	3.000000	6.000000	5.000000	7.000000	5.000000	4.000000	6.000000	5.000000	2.000000	4.000000	6.000000	1.000000
1.000000	5.000000	5.000000	4.000000	4.000000	7.000000	5.000000	7.000000	7.000000	4.000000	7.000000	4.000000	4.000000	5.000000	5.000000	3.000000	5.000000	5.000000	5.000000
1.000000	5.000000	5.000000	1.000000	5.000000	7.000000	4.000000	6.000000	6.000000	4.000000	6.000000	3.000000	4.000000	6.000000	6.000000	3.000000	2.000000	6.000000	3.000000
1.000000	2.000000	6.000000	2.000000	1.000000	7.000000	4.000000	7.000000	7.000000	6.000000	7.000000	6.000000	6.000000	4.000000	7.000000	4.000000	2.000000	7.000000	2.000000
1.000000	1.000000	4.000000	1.000000	4.000000	7.000000	2.000000	7.000000	6.000000	7.000000	7.000000	6.000000	4.000000	7.000000	7.000000	1.000000	4.000000	7.000000	5.000000
1.000000	5.000000	6.000000	2.000000	5.000000	6.000000	5.000000	6.000000	5.000000	6.000000	6.000000	6.000000	6.000000	6.000000	6.000000	3.000000	4.000000	6.000000	5.000000
1.000000	2.000000	5.000000	5.000000	6.000000	6.000000	4.000000	3.000000	6.000000	6.000000	6.000000	5.000000	6.000000	7.000000	6.000000	4.000000	6.000000	7.000000	6.000000
1.000000	2.000000	6.000000	2.000000	5.000000	7.000000	1.000000	6.000000	6.000000	6.000000	6.000000	4.000000	6.000000	4.000000	6.000000	2.000000	5.000000	6.000000	7.000000
1.000000	4.000000	6.000000	3.000000	2.000000	7.000000	2.000000	7.000000	6.000000	4.000000	6.000000	5.000000	5.000000	4.000000	6.000000	3.000000	4.000000	7.000000	2.000000
1.000000	2.000000	6.000000	1.000000	4.000000	7.000000	2.000000	7.000000	6.000000	6.000000	7.000000	5.000000	6.000000	5.000000	7.000000	4.000000	5.000000	6.000000	2.000000
1.000000	3.000000	4.000000	1.000000	2.000000	7.000000	4.000000	7.000000	6.000000	6.000000	6.000000	5.000000	7.000000	5.000000	6.000000	2.000000	2.000000	7.000000	3.000000
1.000000	7.000000	5.000000	1.000000	2.000000	5.000000	7.000000	6.000000	7.000000	2.000000	7.000000	2.000000	7.000000	7.000000	6.000000	4.000000	4.000000	5.000000	1.000000
1.000000	4.000000	7.000000	2.000000	6.000000	7.000000	3.000000	7.000000	7.000000	7.000000	7.000000	4.000000	7.000000	7.000000	7.000000	1.000000	3.000000	7.000000	4.000000
1.000000	4.000000	5.000000	1.000000	4.000000	7.000000	3.000000	5.000000	7.000000	6.000000	7.000000	4.000000	7.000000	7.000000	6.000000	2.000000	3.000000	7.000000	4.000000
1.000000	1.000000	1.000000	1.000000	1.000000	6.000000	1.000000	1.000000	1.000000	6.000000	1.000000	1.000000	5.000000	5.000000	1.000000	1.000000	5.000000	1.000000	1.000000
1.000000	2.000000	6.000000	1.000000	7.000000	7.000000	2.000000	7.000000	6.000000	7.000000	7.000000	6.000000	6.000000	7.000000	7.000000	1.000000	1.000000	7.000000	2.000000
1.000000	4.000000	4.000000	1.000000	1.000000	6.000000	4.000000	6.000000	4.000000	5.000000	6.000000	4.000000	6.000000	6.000000	6.000000	2.000000	4.000000	4.000000	2.000000
1.000000	2.000000	6.000000	1.000000	2.000000	7.000000	1.000000	7.000000	6.000000	7.000000	7.000000	6.000000	5.000000	5.000000	7.000000	1.000000	4.000000	7.000000	2.000000
1.000000	4.000000	6.000000	2.000000	2.998917	7.000000	4.000000	2.000000	5.000000	5.000000	6.000000	4.000000	6.000000	7.000000	7.000000	1.000000	2.000000	7.000000	2.000000
1.000000	1.000000	4.000000	1.000000	2.000000	7.000000	1.000000	7.000000	6.000000	4.000000	7.000000	2.000000	4.000000	6.000000	4.000000	2.000000	2.000000	6.000000	2.000000
1.000000	2.000000	4.000000	2.000000	1.000000	6.000000	2.000000	5.000000	6.000000	6.000000	4.000000	3.000000	2.000000	4.000000	6.000000	1.000000	2.000000	6.000000	2.000000
1.000000	2.000000	4.000000	1.000000	1.000000	6.000000	2.000000	7.000000	6.000000	3.000000	2.000000	2.000000	4.000000	6.000000	4.000000	2.000000	2.000000	6.000000	1.000000
1.000000	5.000000	5.000000	3.000000	3.000000	6.000000	3.000000	7.000000	6.000000	5.000000	6.000000	4.000000	6.000000	6.000000	6.000000	3.000000	3.000000	7.000000	5.000000
1.000000	4.000000	6.000000	3.000000	5.000000	7.000000	4.000000	7.000000	7.000000	6.000000	7.000000	5.000000	7.000000	6.000000	7.000000	4.000000	5.000000	7.000000	4.000000
1.000000	4.000000	3.000000	3.000000	3.000000	6.000000	4.000000	7.000000	6.000000	5.000000	6.000000	4.000000	7.000000	6.000000	5.000000	2.000000	4.000000	5.000000	4.000000
1.000000	2.000000	5.000000	1.000000	3.000000	5.000000	2.000000	7.000000	5.000000	6.000000	7.000000	4.000000	5.000000	6.000000	5.000000	2.000000	4.000000	7.000000	4.000000
1.000000	6.000000	6.000000	2.000000	2.000000	6.000000	5.000000	7.000000	6.000000	5.000000	6.000000	5.000000	7.000000	6.000000	6.000000	4.000000	6.000000	7.000000	5.000000
1.000000	2.000000	6.000000	2.000000	3.000000	6.000000	2.000000	6.000000	6.000000	6.000000	7.000000	5.000000	6.000000	5.000000	6.000000	4.000000	4.000000	5.000000	4.000000
1.000000	3.000000	5.000000	1.000000	2.000000	7.000000	2.000000	1.000000	6.000000	6.000000	6.000000	6.000000	6.000000	6.000000	6.000000	3.000000	3.000000	6.000000	2.000000
1.000000	3.000000	6.000000	2.000000	1.000000	6.000000	2.000000	6.000000	6.000000	6.000000	7.000000	6.000000	5.000000	6.000000	6.000000	3.000000	5.000000	4.000000	3.000000
1.000000	1.000000	6.000000	2.000000	4.000000	6.000000	1.000000	7.000000	4.000000	6.000000	7.000000	4.000000	5.000000	6.000000	6.000000	3.000000	4.000000	7.000000	3.000000
1.000000	6.000000	5.000000	7.000000	3.000000	2.000000	1.000000	7.000000	6.000000	5.000000	4.000000	3.000000	2.000000	1.000000	7.000000	5.000000	3.000000	1.000000	2.000000
1.000000	4.000000	2.000000	2.000000	7.000000	4.000000	7.000000	6.000000	5.000000	7.000000	6.000000	6.000000	5.000000	6.000000	4.000000	4.000000	6.000000	2.000000	2.000000
1.000000	6.000000	7.000000	6.000000	7.000000	7.000000	6.000000	7.000000	7.000000	5.000000	6.000000	6.000000	6.000000	7.000000	7.000000	5.000000	5.000000	7.000000	6.000000
1.000000	3.000000	5.000000	1.000000	4.000000	7.000000	3.000000	7.000000	5.000000	5.000000	7.000000	6.000000	7.000000	7.000000	6.000000	2.000000	4.000000	7.000000	4.000000
1.000000	7.000000	3.000000	1.000000	1.000000	7.000000	7.000000	7.000000	5.000000	3.000000	7.000000	5.000000	7.000000	7.000000	4.000000	6.000000	2.000000	7.000000	7.000000
1.000000	6.000000	7.000000	4.000000	6.000000	7.000000	4.000000	5.000000	7.000000	7.000000	7.000000	6.000000	6.000000	6.000000	7.000000	4.000000	4.000000	5.000000	5.000000
1.000000	6.000000	5.000000	4.000000	2.000000	6.000000	6.000000	7.000000	6.000000	5.000000	7.000000	6.000000	7.000000	7.000000	6.000000	3.000000	5.000000	6.000000	6.000000
1.000000	5.000000	6.000000	3.000000	5.000000	7.000000	4.000000	6.000000	7.000000	6.000000	6.000000	7.000000	7.000000	7.000000	6.000000	6.000000	4.000000	6.000000	4.000000
1.000000	6.000000	7.000000	4.000000	5.000000	7.000000	3.000000	7.000000	7.000000	6.000000	6.000000	5.000000	6.000000	7.000000	7.000000	2.000000	5.000000	4.000000	5.000000
1.000000	6.000000	6.000000	6.000000	5.000000	6.000000	6.000000	7.000000	7.000000	7.000000	7.000000	7.000000	6.000000	6.000000	7.000000	6.000000	5.000000	3.000000	3.000000
1.000000	7.000000	7.000000	2.000000	2.000000	7.000000	4.000000	5.000000	7.000000	6.000000	7.000000	7.000000	7.000000	6.000000	7.000000	4.000000	5.000000	6.000000	4.000000
1.000000	2.000000	3.000000	1.000000	3.000000	6.000000	3.000000	7.000000	4.000000	6.000000	6.000000	5.000000	4.000000	4.000000	3.000000	1.000000	2.000000	5.000000	2.000000
1.000000	6.000000	4.000000	2.000000	5.000000	6.000000	5.000000	7.000000	7.000000	4.000000	4.000000	3.000000	3.000000	7.000000	4.000000	2.000000	3.000000	6.000000	6.000000
1.000000	6.000000	6.000000	1.000000	3.000000	7.000000	2.000000	6.000000	7.000000	6.000000	7.000000	6.000000	7.000000	6.000000	6.000000	2.000000	7.000000	4.000000	4.000000
1.000000	2.000000	6.000000	1.000000	4.000000	6.000000	2.000000	6.000000	5.000000	4.000000	6.000000	4.000000	4.000000	4.000000	4.000000	2.000000	4.000000	5.000000	5.000000
1.000000	6.000000	6.000000	5.000000	5.000000	7.000000	6.000000	7.000000	6.000000	7.000000	7.000000	6.000000	7.000000	6.000000	7.000000	5.000000	6.000000	7.000000	6.000000
1.000000	3.000000	5.000000	4.000000	6.000000	7.000000	3.000000	7.000000	5.000000	7.000000	7.000000	5.000000	4.000000	4.000000	6.000000	2.000000	4.000000	7.000000	3.000000
1.000000	5.000000	7.000000	6.000000	2.000000	7.000000	2.000000	7.000000	6.000000	7.000000	7.000000	6.000000	7.000000	5.000000	7.000000	5.000000	7.000000	7.000000	4.000000
1.000000	6.000000	6.000000	5.000000	5.000000	7.000000	6.000000	7.000000	6.000000	7.000000	7.000000	6.000000	7.000000	6.000000	7.000000	5.000000	6.000000	7.000000	6.000000
1.000000	2.000000	4.000000	1.000000	7.000000	7.000000	1.000000	7.000000	6.000000	6.000000	7.000000	6.000000	7.000000	7.000000	6.000000	3.000000	4.000000	7.000000	2.000000
1.000000	4.000000	3.000000	2.000000	6.000000	7.000000	4.000000	7.000000	6.000000	5.000000	7.000000	6.000000	6.000000	4.000000	4.000000	4.000000	4.000000	6.000000	4.000000
1.000000	5.000000	6.000000	3.000000	6.000000	6.000000	5.000000	7.000000	6.000000	5.000000	7.000000	3.000000	7.000000	7.000000	6.000000	3.000000	4.000000	6.000000	3.000000
1.000000	4.000000	4.000000	2.000000	5.000000	6.000000	4.000000	3.000000	5.000000	7.000000	7.000000	6.000000	7.000000	6.000000	7.000000	4.000000	5.000000	7.000000	4.000000
1.000000	5.000000	6.000000	2.000000	5.000000	6.000000	6.000000	5.000000	6.000000	5.000000	7.000000	5.000000	6.000000	6.000000	7.000000	5.000000	5.000000	7.000000	6.000000
1.000000	5.000000	6.000000	1.000000	3.000000	7.000000	5.000000	7.000000	7.000000	6.000000	6.000000	4.000000	5.000000	5.000000	6.000000	5.000000	5.000000	6.000000	2.000000
1.000000	6.000000	7.000000	4.000000	6.000000	6.000000	5.000000	6.000000	7.000000	6.000000	5.000000	6.000000	5.000000	7.000000	7.000000	4.000000	6.000000	7.000000	4.000000
1.000000	5.000000	5.000000	2.000000	2.000000	5.000000	2.000000	7.000000	5.000000	7.000000	7.000000	4.000000	5.000000	5.000000	7.000000	4.000000	5.000000	7.000000	4.000000
1.000000	7.000000	5.000000	6.000000	7.000000	7.000000	4.000000	7.000000	6.000000	7.000000	7.000000	7.000000	7.000000	7.000000	6.000000	5.000000	6.000000	7.000000	6.000000
1.000000	1.000000	5.000000	1.000000	4.000000	7.000000	3.000000	6.000000	7.000000	6.000000	6.000000	6.000000	6.000000	7.000000	7.000000	2.000000	5.000000	7.000000	2.000000
1.000000	2.000000	5.000000	5.000000	7.000000	7.000000	5.000000	7.000000	6.000000	3.000000	7.000000	5.000000	6.000000	7.000000	5.000000	2.000000	1.000000	7.000000	6.000000
1.000000	1.000000	6.000000	1.000000	6.000000	7.000000	2.000000	7.000000	6.000000	6.000000	7.000000	7.000000	6.000000	6.000000	7.000000	3.000000	7.000000	7.000000	2.000000
1.000000	2.000000	6.000000	2.000000	4.000000	7.000000	3.000000	7.000000	6.000000	6.000000	6.000000	4.000000	6.000000	6.000000	7.000000	2.000000	4.000000	6.000000	1.000000
1.000000	4.000000	6.000000	3.000000	7.000000	7.000000	4.000000	7.000000	6.000000	5.000000	7.000000	6.000000	7.000000	6.000000	7.000000	4.000000	5.000000	7.000000	4.000000
1.000000	4.000000	4.000000	1.000000	5.000000	6.000000	2.000000	7.000000	6.000000	5.000000	6.000000	5.000000	5.000000	7.000000	6.000000	2.000000	1.000000	7.000000	2.000000
1.000000	3.000000	5.000000	1.000000	7.000000	7.000000	2.000000	6.000000	6.000000	7.000000	7.000000	5.000000	6.000000	7.000000	4.000000	1.000000	3.000000	3.000000	1.000000
1.000000	1.000000	6.000000	2.000000	1.000000	7.000000	1.000000	7.000000	7.000000	6.000000	7.000000	5.000000	7.000000	6.000000	7.000000	1.000000	4.000000	7.000000	3.000000
1.000000	4.000000	5.000000	1.000000	7.000000	7.000000	1.000000	7.000000	1.000000	6.000000	6.000000	5.000000	7.000000	6.000000	7.000000	1.000000	4.000000	7.000000	1.000000
1.000000	5.000000	4.000000	5.000000	1.000000	7.000000	1.000000	7.000000	7.000000	7.000000	7.000000	7.000000	7.000000	5.000000	7.000000	4.000000	7.000000	7.000000	4.000000
1.000000	4.000000	7.000000	2.000000	2.000000	7.000000	2.000000	1.000000	7.000000	7.000000	7.000000	7.000000	6.000000	7.000000	7.000000	3.000000	3.000000	7.000000	2.000000
1.000000	6.000000	7.000000	2.000000	7.000000	7.000000	4.000000	7.000000	7.000000	7.000000	7.000000	6.000000	7.000000	7.000000	7.000000	6.000000	4.000000	7.000000	7.000000
1.000000	7.000000	7.000000	4.000000	4.000000	7.000000	4.000000	4.000000	7.000000	7.000000	7.000000	6.000000	6.000000	5.000000	7.000000	3.000000	6.000000	7.000000	7.000000
1.000000	4.000000	6.000000	4.000000	6.000000	6.000000	5.000000	3.000000	4.000000	6.000000	7.000000	6.000000	7.000000	7.000000	7.000000	5.000000	6.000000	7.000000	6.000000
1.000000	5.000000	5.000000	4.000000	7.000000	7.000000	4.000000	6.000000	7.000000	7.000000	7.000000	7.000000	7.000000	6.000000	7.000000	3.000000	6.000000	7.000000	4.000000
1.000000	4.000000	6.000000	3.000000	6.000000	7.000000	3.000000	5.000000	4.000000	5.000000	6.000000	6.000000	7.000000	7.000000	6.000000	6.000000	5.000000	7.000000	4.000000
1.000000	1.000000	2.000000	1.000000	1.000000	6.000000	1.000000	7.000000	6.000000	3.000000	6.000000	2.000000	5.000000	6.000000	6.000000	1.000000	5.000000	6.000000	1.000000
1.000000	1.000000	4.000000	2.000000	1.000000	6.000000	2.000000	7.000000	5.000000	5.000000	6.000000	3.000000	3.000000	6.000000	4.000000	2.000000	4.000000	5.000000	2.000000
1.000000	1.000000	4.000000	1.000000	1.000000	5.000000	1.000000	1.000000	6.000000	6.000000	6.000000	4.000000	2.000000	6.000000	6.000000	1.000000	5.000000	6.000000	1.000000
1.000000	2.000000	2.000000	1.000000	2.000000	7.000000	2.000000	6.000000	7.000000	5.000000	7.000000	5.000000	4.000000	6.000000	6.000000	1.000000	1.000000	6.000000	2.000000
1.000000	3.000000	4.000000	1.000000	4.000000	6.000000	4.000000	7.000000	2.000000	6.000000	6.000000	4.000000	3.000000	5.000000	6.000000	1.000000	1.000000	2.000000	2.000000
1.000000	1.000000	7.000000	1.000000	1.000000	6.000000	1.000000	7.000000	6.000000	6.000000	6.000000	1.000000	7.000000	7.000000	7.000000	1.000000	6.000000	7.000000	4.000000
1.000000	2.000000	4.000000	2.000000	5.000000	7.000000	4.000000	5.000000	5.000000	3.000000	6.000000	5.000000	6.000000	7.000000	7.000000	2.000000	3.000000	7.000000	5.000000
1.000000	2.000000	6.000000	2.000000	4.000000	6.000000	4.000000	2.000000	6.000000	6.000000	6.000000	4.000000	6.000000	6.000000	6.000000	4.000000	6.000000	6.000000	6.000000
1.000000	4.000000	5.000000	1.000000	2.000000	5.000000	4.000000	6.000000	7.000000	6.000000	7.000000	6.000000	6.000000	5.000000	5.000000	1.000000	4.000000	4.000000	1.000000
1.000000	2.000000	6.000000	1.000000	6.000000	7.000000	4.000000	6.000000	7.000000	7.000000	7.000000	5.000000	7.000000	6.000000	7.000000	4.000000	6.000000	7.000000	4.000000
1.000000	2.000000	4.000000	2.000000	6.000000	7.000000	2.000000	6.000000	6.000000	6.000000	7.000000	6.000000	6.000000	6.000000	6.000000	3.000000	4.000000	5.000000	2.000000
1.000000	4.000000	5.000000	3.000000	5.000000	6.000000	3.000000	6.000000	6.000000	6.000000	6.000000	6.000000	7.000000	6.000000	5.000000	6.000000	5.000000	6.000000	2.000000
1.000000	7.000000	6.000000	5.000000	4.000000	7.000000	7.000000	7.000000	7.000000	6.000000	7.000000	6.000000	7.000000	7.000000	7.000000	6.000000	5.000000	7.000000	7.000000
1.000000	6.000000	6.000000	3.000000	3.000000	6.000000	3.000000	4.000000	4.000000	4.000000	6.000000	6.000000	7.000000	7.000000	7.000000	3.000000	3.000000	7.000000	6.000000
1.000000	2.000000	4.000000	1.000000	3.000000	6.000000	4.000000	7.000000	4.000000	6.000000	7.000000	3.000000	7.000000	5.000000	6.000000	2.000000	5.000000	6.000000	4.000000
